domain,problem,config,rep,solved,cost,wall,search_time
woodworking-opt08-strips,p25.pddl,stock,1,1,380,9.385,8.32347
woodworking-opt08-strips,p25.pddl,policy,1,1,380,3.790,2.76395
woodworking-opt08-strips,p26.pddl,stock,1,1,240,3.436,2.59396
woodworking-opt08-strips,p26.pddl,policy,1,1,240,2.733,1.71717
woodworking-opt08-strips,p27.pddl,stock,1,1,350,8.013,6.81773
woodworking-opt08-strips,p27.pddl,policy,1,1,350,5.599,4.31821
woodworking-opt08-strips,p28.pddl,stock,1,1,555,591.422,589.44
woodworking-opt08-strips,p28.pddl,policy,1,1,555,19.133,17.6753
woodworking-opt08-strips,p29.pddl,stock,1,0,,1800.040,
woodworking-opt08-strips,p29.pddl,policy,1,1,545,1227.305,1224.4
woodworking-opt08-strips,p30.pddl,stock,1,0,,1799.938,
woodworking-opt08-strips,p30.pddl,policy,1,0,,1800.075,
woodworking-opt11-strips,p01.pddl,stock,1,1,195,0.821,0.080645
woodworking-opt11-strips,p01.pddl,policy,1,1,195,0.820,0.0712405
woodworking-opt11-strips,p02.pddl,stock,1,1,225,0.877,0.0900004
woodworking-opt11-strips,p02.pddl,policy,1,1,225,0.871,0.0670717
woodworking-opt11-strips,p03.pddl,stock,1,1,215,1.223,0.318445
woodworking-opt11-strips,p03.pddl,policy,1,1,215,1.172,0.287273
woodworking-opt11-strips,p04.pddl,stock,1,1,275,1.172,0.295
woodworking-opt11-strips,p04.pddl,policy,1,1,275,1.076,0.204047
woodworking-opt11-strips,p05.pddl,stock,1,1,245,1.273,0.380311
woodworking-opt11-strips,p05.pddl,policy,1,1,245,1.172,0.299989
woodworking-opt11-strips,p06.pddl,stock,1,1,280,1.776,0.871742
woodworking-opt11-strips,p06.pddl,policy,1,1,280,1.524,0.623417
woodworking-opt11-strips,p07.pddl,stock,1,1,225,1.175,0.353668
woodworking-opt11-strips,p07.pddl,policy,1,1,225,1.125,0.293555
woodworking-opt11-strips,p08.pddl,stock,1,1,380,6.808,5.81987
woodworking-opt11-strips,p08.pddl,policy,1,1,380,5.544,4.47466
woodworking-opt11-strips,p09.pddl,stock,1,1,270,3.587,2.41722
woodworking-opt11-strips,p09.pddl,policy,1,1,270,3.083,1.88391
woodworking-opt11-strips,p10.pddl,stock,1,1,270,4.341,3.25573
woodworking-opt11-strips,p10.pddl,policy,1,1,270,2.279,1.20299
woodworking-opt11-strips,p11.pddl,stock,1,1,240,4.797,3.65143
woodworking-opt11-strips,p11.pddl,policy,1,1,240,2.886,1.73983
woodworking-opt11-strips,p12.pddl,stock,1,1,315,2.935,1.7956
woodworking-opt11-strips,p12.pddl,policy,1,1,315,3.186,1.91719
woodworking-opt11-strips,p13.pddl,stock,1,1,430,12.493,11.2754
woodworking-opt11-strips,p13.pddl,policy,1,1,430,9.372,8.11061
woodworking-opt11-strips,p14.pddl,stock,1,1,350,8.519,7.27463
woodworking-opt11-strips,p14.pddl,policy,1,1,350,5.449,4.27316
woodworking-opt11-strips,p15.pddl,stock,1,1,290,13.044,11.6753
woodworking-opt11-strips,p15.pddl,policy,1,1,290,8.060,6.7525
woodworking-opt11-strips,p16.pddl,stock,1,1,400,137.483,136.08
woodworking-opt11-strips,p16.pddl,policy,1,1,400,11.234,9.85988
woodworking-opt11-strips,p17.pddl,stock,1,1,555,827.483,825.541
woodworking-opt11-strips,p17.pddl,policy,1,1,555,19.384,17.9808
woodworking-opt11-strips,p18.pddl,stock,1,1,455,153.220,151.461
woodworking-opt11-strips,p18.pddl,policy,1,1,455,167.975,166.539
woodworking-opt11-strips,p19.pddl,stock,1,1,430,197.950,195.896
woodworking-opt11-strips,p19.pddl,policy,1,1,430,90.497,88.8479
woodworking-opt11-strips,p20.pddl,stock,1,0,,1800.165,
woodworking-opt11-strips,p20.pddl,policy,1,1,545,1280.147,1277.26
barman-opt11-strips,pfile01-001.pddl,stock,2,1,90,15.558,14.5279
barman-opt11-strips,pfile01-001.pddl,policy,2,1,90,10.579,9.55863
barman-opt11-strips,pfile01-002.pddl,stock,2,1,90,10.939,9.90483
barman-opt11-strips,pfile01-002.pddl,policy,2,1,90,8.313,7.33763
barman-opt11-strips,pfile01-003.pddl,stock,2,1,90,11.337,10.2623
barman-opt11-strips,pfile01-003.pddl,policy,2,1,90,5.701,4.68928
barman-opt11-strips,pfile01-004.pddl,stock,2,1,90,10.937,9.91786
barman-opt11-strips,pfile01-004.pddl,policy,2,1,90,8.468,7.44471
barman-opt11-strips,pfile02-005.pddl,stock,2,1,121,142.289,140.632
barman-opt11-strips,pfile02-005.pddl,policy,2,1,121,171.588,169.737
barman-opt11-strips,pfile02-006.pddl,stock,2,1,121,197.362,195.457
barman-opt11-strips,pfile02-006.pddl,policy,2,1,121,114.894,113.324
barman-opt11-strips,pfile02-007.pddl,stock,2,1,121,147.711,145.922
barman-opt11-strips,pfile02-007.pddl,policy,2,1,121,100.663,99.0879
barman-opt11-strips,pfile02-008.pddl,stock,2,1,121,134.627,133.003
barman-opt11-strips,pfile02-008.pddl,policy,2,1,121,101.352,99.7814
barman-opt11-strips,pfile03-009.pddl,stock,2,0,,1799.971,
barman-opt11-strips,pfile03-009.pddl,policy,2,0,,1799.875,
barman-opt11-strips,pfile03-010.pddl,stock,2,0,,1799.564,
barman-opt11-strips,pfile03-010.pddl,policy,2,1,152,1511.403,1505.83
barman-opt11-strips,pfile03-011.pddl,stock,2,1,152,1539.170,1533.64
barman-opt11-strips,pfile03-011.pddl,policy,2,1,152,1414.504,1409.73
barman-opt11-strips,pfile03-012.pddl,stock,2,0,,1799.888,
barman-opt11-strips,pfile03-012.pddl,policy,2,1,152,1513.389,1508.37
barman-opt11-strips,pfile04-013.pddl,stock,2,0,,1800.113,
barman-opt11-strips,pfile04-013.pddl,policy,2,0,,1800.112,
barman-opt11-strips,pfile04-014.pddl,stock,2,0,,1799.995,
barman-opt11-strips,pfile04-014.pddl,policy,2,0,,1799.942,
barman-opt11-strips,pfile04-015.pddl,stock,2,0,,1800.034,
barman-opt11-strips,pfile04-015.pddl,policy,2,0,,1799.809,
barman-opt11-strips,pfile04-016.pddl,stock,2,0,,1800.238,
barman-opt11-strips,pfile04-016.pddl,policy,2,0,,1800.510,
barman-opt11-strips,pfile05-017.pddl,stock,2,0,,1800.193,
barman-opt11-strips,pfile05-017.pddl,policy,2,0,,1800.273,
barman-opt11-strips,pfile05-018.pddl,stock,2,0,,1800.172,
barman-opt11-strips,pfile05-018.pddl,policy,2,0,,1800.332,
barman-opt11-strips,pfile05-019.pddl,stock,2,0,,1799.897,
barman-opt11-strips,pfile05-019.pddl,policy,2,0,,1800.267,
barman-opt11-strips,pfile05-020.pddl,stock,2,0,,1799.964,
